VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,CD09,42,CD09-C008-C007-C005-C003-CD09,4,10-12-5-15,21.76,52.23,8868.0
V002,CD12,18,CD12-C001-C004-CD12,2,12-6,21.0,50.39,11408.0
V003,CD05,26,CD05-C002-C006-CD05,2,15-11,15.63,37.52,8495.0
V005,CD11,15,CD11-C009-CD11,1,15,6.88,16.51,3737.0
