VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,CD01,126,CD01-C020-C012-C021-C007-C019-C002-C003-C023-C014-CD01,9,15-12-14-17-11-15-12-15-15,38.5716,77.14,20957.26
V002,CD01,137,CD01-C013-C022-C015-C004-C001-C010-C016-C024-C011-CD01,9,21-18-17-15-13-15-10-11-17,51.4729,102.95,27966.92
V003,CD01,114,CD01-C006-C018-C017-C009-C005-C008-CD01,6,17-12-25-20-20-20,34.9063,69.81,18965.75
